,0502 5B,VOTES,PERCENT
0,REGISTERED VOTERS - TOTAL,1514,
1,BALLOTS CAST - TOTAL.,300,
2,VOTER TURNOUT - TOTAL,,19.82
3,MAYOR,,
4,VOTE FOR 1,,
5,DOMENIC J. SARNO,211,71.28
6,JOSE F. TOSADO.,85,28.72
7,WRITE-IN,0,
8,Blanks,4,
9,CITY COUNCIL AT LARGE,,
10,VOTE FOR 5,,
11,THOMAS ASHE.,143,13.01
12,JAMES J. FERRERA,108,9.83
13,TIMOTHY J. ROOKE,113,10.28
14,KATERI B. WALSH .,136,12.37
15,JOSEPH R. FOUNTAIN,66,6.01
16,JUSTIN J. HURST,141,12.83
17,AMAAD RIVERA,72,6.55
18,CHARLES H. RUCKS,109,9.92
19,MIGUEL A. SOTO.,70,6.37
20,BUD L. WILLIAMS,141,12.83
21,WRITE-IN,0,
22,Blanks,401,
23,CITY COUNCIL WARD 5,,
24,VOTE FOR 1,,
25,CLODO CONCEPCION,170,98.27
26,WRITE-IN.,3,1.73
27,Blanks,127,
