,0303 3C,VOTES,PERCENT
0,REGISTERED VOTERS - TOTAL,1229,
1,BALLOTS CAST - TOTAL.,102,
2,VOTER TURNOUT - TOTAL,,8.30
3,MAYOR,,
4,VOTE FOR 1,,
5,DOMENIC J. SARNO,77,74.76
6,JOSE F. TOSADO.,26,25.24
7,WRITE-IN,0,
8,Blanks,0,
9,CITY COUNCIL AT LARGE,,
10,VOTE FOR 5,,
11,THOMAS ASHE.,58,16.20
12,JAMES J. FERRERA,43,12.01
13,TIMOTHY J. ROOKE,43,12.01
14,KATERI B. WALSH,48,13.41
15,JOSEPH R. FOUNTAIN,19,5.31
16,JUSTIN J. HURST,18,5.03
17,AMAAD RIVERA,34,9.50
18,CHARLES H. RUCKS,20,5.59
19,MIGUEL A. SOTO.,28,7.82
20,BUD L. WILLIAMS,47,13.13
21,WRITE-IN,0,
22,Blanks,157,
23,CITY COUNCIL WARD 3,,
24,VOTE FOR 1,,
25,MELVIN A. EDWARDS.,53,100.00
26,WRITE-IN.,0,
27,Blanks,50,
