,,VOTES,PERCENT
0,REGISTERED VOTERS - TOTAL,1598,
1,BALLOTS CAST - TOTAL.,389,
2,VOTER TURNOUT - TOTAL,,24.34
3,MAYOR,,
4,VOTE FOR 1,,
5,DOMENIC J. SARNO,278,72.58
6,JOSE F. TOSADO.,105,27.42
7,WRITE-IN.,0,
8,Blanks,6,
9,CITY COUNCIL AT LARGE VOTE FOR 5,,
10,THOMAS ASHE.,186,13.61
11,JAMES J. FERRERA,147,10.75
12,TIMOTHY J. ROOKE,135,9.88
13,KATERI B. WALSH .,154,11.27
14,JOSEPH R. FOUNTAIN,68,4.97
15,JUSTIN J. HURST .,165,12.07
16,AMAAD RIVERA,124,9.07
17,CHARLES H. RUCKS,113,8.27
18,MIGUEL A. SOTO.,94,6.88
19,BUD L. WILLIAMS,180,13.17
20,WRITE-IN,1,.07
21,Blanks,578,
22,CITY COUNCIL WARD 8,,
23,VOTE FOR 1,,
24,JOHN A. LYSAK,139,39.27
25,ORLANDO RAMOS,215,60.73
26,WRITE-IN.,0,
27,Blanks,35,
