,0702 7B,,
0,,VOTES,PERCENT
1,REGISTERED VOTERS - TOTAL,1767,
2,BALLOTS CAST - TOTAL.,756,
3,VOTER TURNOUT - TOTAL,,42.78
4,MAYOR,,
5,VOTE FOR 1,,
6,DOMENIC J. SARNO,647,86.27
7,JOSE F. TOSADO.,101,13.47
8,WRITE-IN,2,.27
9,Blanks,6,
10,CITY COUNCIL AT LARGE,,
11,VOTE FOR 5,,
12,THOMAS ASHE.,509,18.10
13,JAMES J. FERRERA,407,14.47
14,TIMOTHY J. ROOKE,510,18.14
15,KATERI B. WALSH .,395,14.05
16,JOSEPH R. FOUNTAIN,148,5.26
17,JUSTIN J. HURST,244,8.68
18,AMAAD RIVERA,114,4.05
19,CHARLES H. RUCKS,148,5.26
20,MIGUEL A. SOTO.,56,1.99
21,BUD L. WILLIAMS,279,9.92
22,WRITE-IN,2,.07
23,Blanks,968,
24,CITY COUNCIL WARD 7,,
25,VOTE FOR 1,,
26,TIMOTHY C. ALLEN,587,99.16
27,WRITE-IN.,5,.84
28,Blanks,164,
