,0102 1B,VOTES,PERCENT
0,REGISTERED VOTERS - TOTAL,1822,
1,BALLOTS CAST - TOTAL.,153,
2,VOTER TURNOUT - TOTAL,,8.40
3,CITY COUNCIL AT LARGE,,
4,VOTE FOR 5,,
5,THOMAS ASHE.,64,11.35
6,JUSTIN J. HURST,86,15.25
7,KATERI B. WALSH,54,"9,57"
8,ERNESTO E. CRUZ,88,15.60
9,VICTOR G. DAVILA .,84,14.89
10,JESSE LEDERMAN.,70,12.41
11,JYNAI S. McDONALD.,33,5.85
12,KELLI P. MORIARTY-FINN,19,3.37
13,TIMOTHY RYAN,36,6.38
14,TRACYE L. WHITFIELD,30,5.32
15,WRITE-IN.,0,
16,Blanks,201,
17,CITY COUNCIL WARD 1 VOTE FOR 1,,
18,ADAM GOMEZ,130,99.24
19,WRITE-IN.,1,.76
20,Blanks,22,
21,SCHOOL COMMITTEE AT LARGE VOTE FOR 2,,
22,DENISE MARIE HURST,90,38.46
23,JAMES J. FERRERA III.,69,29.49
24,RYAN HESS,18,7.69
25,LaTONIA MONROE NAYLOR,56,23.93
26,WRITE-IN.,1,.43
27,Blanks,72,
28,SCHOOL COMMITTEE DISTRICT 1,,
29,VOTE FOR 1,,
30,MARIA PEREZ.,117,99.15
31,WRITE-IN.,1,.85
32,Blanks,35,
