,0204 2D,VOTES,PERCENT
0,REGISTERED VOTERS - TOTAL,1567,
1,BALLOTS CAST - TOTAL.,230,
2,VOTER TURNOUT - TOTAL,,14.68
3,MAYOR,,
4,VOTE FOR 1,,
5,DOMENIC J. SARNO,137,59.57
6,ANTONETTE E. PEPE.,36,15.65
7,JOSE F. TOSADO.,57,24.78
8,WRITE-IN.,0,
9,Blanks,2,
10,CITY COUNCIL AT LARGE,,
11,VOTE FOR 5,,
12,THOMAS ASHE.,130,15.91
13,JAMES J. FERRERA,92,11.26
14,TIMOTHY J. ROOKE,124,15.18
15,KATERI B. WALSH,85,10.40
16,BRUCE SAMUEL ADAMS JR,27,3.30
17,DAVID F. CIAMPI,15,1.84
18,JOSEPH R. FOUNTAIN,53,6.49
19,JUSTIN J. HURST,53,6.49
20,AMAAD RIVERA,51,6.24
21,CHARLES H. RUCKS,33,4.04
22,MIGUEL A. SOTO.,51,6.24
23,JOHN W. STEVENS,30,3.67
24,BUD L. WILLIAMS,73,8.94
25,WRITE-IN,0,
26,Blanks,343,
