,0805 8E,VOTES,PERCENT
0,REGISTERED VOTERS - TOTAL,1421,
1,BALLOTS CAST - TOTAL.,50,
2,VOTER TURNOUT - TOTAL,,3.52
3,MAYOR,,
4,VOTE FOR 1,,
5,DOMENIC J. SARNO,39,78.00
6,YOLANDA CANCEL.,8,16.00
7,JEFFERY P. DONNELLY,2,4.00
8,LINDA MATYS 0'CONNELL,1,2.00
9,WRITE-IN.,0,
10,Blanks,0,
11,CITY COUNCIL AT LARGE,,
12,VOTE FOR 5,,
13,JUSTIN J. HURST,21,12.96
14,JESSE LEDERMAN.,26,16.05
15,KATERI B. WALSH,26,16.05
16,TRACYE L. WHITFIELD,12,7.41
17,LaMAR COOK,10,6.17
18,SEAN CURRAN.,18,11.11
19,KENCY GILET.,6,3.70
20,JOHNNIE RAY MCKNIGHT.,4,2.47
21,KELLI P. MORIARTY-FINN,12,7.41
22,CHRISTOPHER J. POHNER,14,8.64
23,ISRAEL RIVERA,10,6.17
24,WRITE-IN.,3,1.85
25,Blanks,88,
