,0208 2H,VOTES,PERCENT
0,REGISTERED VOTERS - TOTAL,1770,
1,BALLOTS CAST - TOTAL,84,
2,VOTER TURNOUT - TOTAL,,4.75
3,CITY COUNCIL AT LARGE,,
4,VOTE FOR 5,,
5,THOMAS ASHE.,51,14.87
6,JUSTIN J. HURST,42,12.24
7,KATERI B. WALSH,39,11.37
8,ERNESTO E. CRUZ . .,22,6.41
9,VICTOR G. DAVILA . .,20,5.83
10,MARILYN FELIX,22,6.41
11,JESSE LEDERMAN.,31,9.04
12,JYNAI S. McDONALD.,12,3.50
13,KELVIN MOLINA,7,2.04
14,KELLI P. MORIARTY-FINN,34,9.91
15,TIMOTHY RYAN,33,9.62
16,WILLIE J. THOMAS,7,2.04
17,TRACYE L. WHITFIELD,23,6.71
18,WRITE-IN.,0,
19,Blanks,77,18.33
20,CITY COUNCIL WARD 2,,
21,VOTE FOR 1,,
22,MICHAEL A. FENTON.,56,70.00
23,KENCY GILET.,13,16.25
24,IVELISSE GONZALEZ.,11,13.75
25,WRITE-IN.,0,
26,Blanks,4,4.76
27,SCHOOL COMMITTEE AT LARGE,,
28,VOTE FOR 2,,
29,DENISE MARIE HURST,35,23.97
30,JAMES M. ANZIANO,6,4.11
31,LaMAR COOK,13,8.90
32,JAMES J. FERRERA III.,33,22.60
33,JOESIAH GONZALEZ,15,10.27
34,RYAN HESS,13,8.90
35,MICHAEL D. KOCSMIERSKY,18,12.33
36,LaTONIA MONROE NAYLOR,13,8.90
37,WRITE-IN.,0,
38,Blanks,22,13.10
