,,VOTES,PERCENT
0,REGISTERED VOTERS - TOTAL,1605,
1,BALLOTS CAST - TOTAL.,64,
2,VOTER TURNOUT - TOTAL,,3.99
3,CITY COUNCIL AT LARGE,,
4,VOTE FOR 5,,
5,THOMAS ASHE.,29,13.88
6,JUSTIN J. HURST,20,9.57
7,KATERI B. WALSH,16,7.66
8,ERNESTO E. CRUZ,41,19.62
9,VICTOR G. DAVILA .,32,15.31
10,JESSE LEDERMAN. .,20,9.57
11,JYNAI S. McDONALD.,18,8.61
12,KELLI P. MORIARTY-FINN,8,3.83
13,TIMOTHY RYAN,14,6.70
14,TRACYE L. WHITFIELD,11,5.26
15,WRITE-IN,0,
16,Blanks,111,
17,CITY COUNCIL WARD 1,,
18,VOTE FOR 1,,
19,ADAM GOMEZ,52,100.00
20,WRITE-IN.,0,
21,Blanks,12,
22,SCHOOL COMMITTEE AT LARGE VOTE FOR 2,,
23,DENISE MARIE HURST,27,29.35
24,JAMES J. FERRERA III.,34,36.96
25,RYAN HESS,8,8.70
26,LaTONIA MONROE NAYLOR,23,25.00
27,WRITE-IN.,0,
28,Blanks,36,
29,SCHOOL COMMITTEE DISTRICT 1,,
30,VOTE FOR 1,,
31,MARIA PEREZ.,43,97.73
32,WRITE-IN.,1,2.27
33,Blanks,20,
