,,VOTES,PERCENT
0,REGISTERED VOTERS - TOTAL,1345,
1,BALLOTS CAST - TOTAL.,318,
2,VOTER TURNOUT - TOTAL,,23.64
3,MAYOR,,
4,VOTE FOR 1,,
5,DOMENIC J. SARNO,192,60.00
6,ANTONETTE E. PEPE.,70,21.88
7,JOSE F. TOSADO.,58,18.13
8,WRITE-IN,0,
9,Blanks,0,
10,CITY COUNCIL AT LARGE VOTE FOR 5,,
11,THOMAS ASHE.,183,15.16
12,JAMES J. FERRERA,128,10.60
13,TIMOTHY J. ROOKE,165,13.67
14,KATERI B. WALSH,153,12.68
15,BRUCE SAMUEL ADAMS JR,48,3.98
16,DAVID F. CIAMPI,59,4.89
17,JOSEPH R. FOUNTAIN,58,4.81
18,JUSTIN J. HURST,116,9.61
19,AMAAD RIVERA,57,4.72
20,CHARLES H. RUCKS,55,4.56
21,MIGUEL A. SOTO.,31,2.57
22,JOHN W. STEVENS,46,3.81
23,BUD L. WILLIAMS,105,8.70
24,WRITE-IN,3,.25
25,Blanks,393,
