,0804 8D,VOTES,PERCENT
0,REGISTERED VOTERS - TOTAL,1392,
1,BALLOTS CAST - TOTAL.,105,
2,VOTER TURNOUT - TOTAL,,7.54
3,MAYOR,,
4,VOTE FOR 1,,
5,DOMENIC J. SARNO,53,49.53
6,ANTONETTE E. PEPE.,25,23.36
7,JOSE F. TOSADO.,29,27.10
8,WRITE-IN.,0,
9,Blanks,0,
10,CITY COUNCIL AT LARGE,,
11,VOTE FOR 5,,
12,THOMAS ASHE.,43,12.15
13,JAMES J. FERRERA,39,11.02
14,TIMOTHY J. ROOKE,35,9.89
15,KATERI B. WALSH,37,10.45
16,BRUCE SAMUEL ADAMS JR,18,5.08
17,DAVID F. CIAMPI,13,3.67
18,JOSEPH R. FOUNTAIN,23,6.50
19,JUSTIN J. HURST,30,8.47
20,AMAAD RIVERA,14,3.95
21,CHARLES H. RUCKS,18,5.08
22,MIGUEL A. SOTO.,28,7.91
23,JOHN W. STEVENS,20,5.65
24,BUD L. WILLIAMS,31,8.76
25,WRITE-IN.,5,1.41
26,Blanks,181,
