,0703 7C,VOTES,PERCENT
0,REGISTERED VOTERS - TOTAL,1676,
1,BALLOTS CAST - TOTAL.,468,
2,VOTER TURNOUT - TOTAL,,27.92
3,MAYOR,,
4,VOTE FOR 1,,
5,DOMENIC J. SARNO,332,71.55
6,ANTONETTE E. PEPE.,77,16.59
7,JOSE F. TOSADO.,54,11.64
8,WRITE-IN.,1,.22
9,Blanks,4,
10,CITY COUNCIL AT LARGE,,
11,VOTE FOR 5,,
12,THOMAS ASHE.,272,16.82
13,JAMES J. FERRERA,213,13.17
14,TIMOTHY J. ROOKE,281,17.38
15,KATERI B. WALSH,192,11.87
16,BRUCE SAMUEL ADAMS JR,113,6.99
17,DAVID F. CIAMPI,49,3.03
18,JOSEPH R. FOUNTAIN,47,2.91
19,JUSTIN J. HURST,119,7.36
20,AMAAD RIVERA,44,2.72
21,CHARLES H. RUCKS,55,3.40
22,MIGUEL A. SOTO.,26,1.61
23,JOHN W. STEVENS,62,3.83
24,BUD L. WILLIAMS,138,8.53
25,WRITE-IN.,6,.37
26,Blanks,723,
