,0701 7A,VOTES,PERCENT
0,REGISTERED VOTERS . TOTAL,1550,
1,BALLOTS CAST - TOTAL,516,
2,VOTER TURNOUT - TOTAL,,33.29
3,MAYOR,,
4,VOTE FOR 1,,
5,DOMENIC J. SARNO,394,77.25
6,JOSE F. TOSADO.,116,22.75
7,WRITE-IN.,0,
8,Blanks,6,
9,CITY COUNCIL AT LARGE,,
10,VOTE FOR 5,,
11,THOMAS ASHE.,295,15.28
12,JAMES J. FERRERA,323,16.74
13,TIMOTHY J. ROOKE,307,15.91
14,KATERI B. WALSH,259,13.42
15,JOSEPH R. FOUNTAIN,108,5.60
16,JUSTIN J. HURST,141,7.31
17,AMAAD RIVERA,99,5.13
18,CHARLES H. RUCKS,100,5.18
19,MIGUEL A. SOTO.,52,2.69
20,BUD L. WILLIAMS,240,12.44
21,WRITE-IN,6,.31
22,Blanks,650,
23,CITY COUNCIL WARD 7,,
24,VOTE FOR 1,,
25,TIMOTHY C. ALLEN,380,98.70
26,WRITE-IN.,5,1.30
27,Blanks,131,
