,,VOTES,PERCENT
0,REGISTERED VOTERS - TOTAL,471,
1,BALLOTS CAST - TOTAL.,65,
2,VOTER TURNOUT - TOTAL,,13.80
3,CITY COUNCIL AT LARGE,,
4,VOTE FOR 5,,
5,THOMAS M. ASHE.,24,13.33
6,JAMES J. FERRERA,11,6.11
7,TIMOTHY ROOKE,14,7.78
8,KATERI B. WALSH . .,18,10.00
9,BUD L. WILLIAMS .,45,25.00
10,JOSHUA CARPENTER .,4,2.22
11,ERNESTO E. CRUZ,12,6.67
12,JEFFERY P. DONNELLY,4,2.22
13,JUSTIN J. HURST,48,26.67
14,WRITE-IN.,0,
15,Blanks,145,
16,CITY COUNCIL WARD 4 VOTE FOR 1,,
17,E. HENRY TWIGGS,47,100.00
18,WRITE-IN.,0,
19,Blanks,18,
20,SCHOOL COMMITTEE AT LARGE VOTE FOR 2,,
21,DENISE M. HURST,44,44.00
22,ANTONETTE PEPE.,13,13.00
23,CALVIN J. McFADDEN,43,43.00
24,WRITE-IN,0,
25,Blanks,30,
26,SCHOOL COMMITTEE DISTRICT 2,,
27,VOTE FOR 1,,
28,BARBARA GRESHAM,40,100.00
29,WRITE-IN.,0,
30,Blanks,25,
