,,VOTES,PERCENT
0,REGISTERED VOTERS - TOTAL,1524,
1,BALLOTS CAST - TOTAL.,95,
2,VOTER TURNOUT - TOTAL,,6.23
3,CITY COUNCIL AT LARGE,,
4,VOTE FOR 5,,
5,THOMAS ASHE.,53,16.21
6,JUSTIN J. HURST,38,11.62
7,KATERI B. WALSH,36,11.01
8,ERNESTO E. CRUZ,32,9.79
9,VICTOR G. DAVILA,23,7.03
10,JESSE LEDERMAN. . .,29,8.87
11,JYNAI S. McDONALD.,16,4.89
12,KELLI P. MORIARTY-FINN,32,9.79
13,TIMOTHY RYAN,36,11.01
14,TRACYE L. WHITFIELD,32,9.79
15,WRITE-IN.,0,
16,Blanks,148,
17,CITY COUNCIL WARD 2,,
18,VOTE FOR 1,,
19,MICHAEL A. FENTON.,61,69.32
20,KENCY GILET.,27,30.68
21,WRITE-IN.,0,
22,Blanks,7,
23,SCHOOL COMMITTEE AT LARGE,,
24,VOTE FOR 2,,
25,DENISE MARIE HURST,51,35.17
26,JAMES J. FERRERA III.,34,23.45
27,RYAN HESS,35,24.14
28,LaTONIA MONROE NAYLOR,25,17.24
29,WRITE-IN.,0,
30,Blanks,45,
31,SCHOOL COMMITTEE DISTRICT 4,,
32,VOTE FOR 1,,
33,PETER MURPHY,52,59.77
34,ZAIDA GOVAN.,35,40.23
35,WRITE-IN.,0,
36,Blanks,8,
