,0607 6G,VOTES,PERCENT
0,REGISTERED VOTERS - TOTAL,1529,
1,BALLOTS CAST - TOTAL.,327,
2,VOTER TURNOUT - TOTAL,,21.39
3,MAYOR,,
4,VOTE FOR 1,,
5,DOMENIC J. SARNO,254,77.91
6,JOSE F. TOSADO.,69,21.17
7,WRITE-IN.,3,.92
8,Blanks,1,
9,CITY COUNCIL AT LARGE VOTE FOR 5,,
10,THOMAS ASHE.,201,15.64
11,JAMES J. FERRERA,169,13.15
12,TIMOTHY J. ROOKE,177,13.77
13,KATERI B. WALSH,175,13.62
14,JOSEPH R. FOUNTAIN,88,6.85
15,JUSTIN J. HURST .,93,7.24
16,AMAAD RIVERA,124,9.65
17,CHARLES H. RUCKS,72,5.60
18,MIGUEL A. SOTO.,53,4.12
19,BUD L. WILLIAMS,132,10.27
20,WRITE-IN,1,.08
21,Blanks,350,
22,CITY COUNCIL WARD 6,,
23,VOTE FOR 1,,
24,KENNETH E. SHEA,229,96.62
25,WRITE-IN.,8,3.38
26,Blanks,90,
