,,VOTES,PERCENT
0,REGISTERED VOTERS - TOTAL,1713,
1,BALLOTS CAST - TOTAL.,146,
2,VOTER TURNOUT - TOTAL,,8.52
3,CITY COUNCIL AT LARGE,,
4,VOTE FOR 5,,
5,THOMAS ASHE.,72,13.66
6,JUSTIN J. HURST,82,15.56
7,KATERI B. WALSH .,73,13.85
8,ERNESTO E. CRUZ . .,32,6.07
9,VICTOR G. DAVILA,32,6.07
10,JESSE LEDERMAN. .,52,9.87
11,JYNAI S. McDONALD.,34,6.45
12,KELLI P. MORIARTY-FINN,41,7.78
13,TIMOTHY RYAN,47,8.92
14,TRACYE L. WHITFIELD,57,10.82
15,WRITE-IN.,5,.95
16,Blanks,203,
17,CITY COUNCIL WARD 8,,
18,VOTE FOR 1,,
19,ORLANDO RAMOS,105,92.11
20,WRITE-IN.,9,7.89
21,Blanks,32,
22,SCHOOL COMMITTEE AT LARGE VOTE FOR 2,,
23,DENISE MARIE HURST,86,37.23
24,JAMES J. FERRERA III.,54,23.38
25,RYAN HESS,32,13.85
26,LaTONIA MONROE NAYLOR,57,24.68
27,WRITE-IN.,2,.87
28,anks,61,
29,SCHOOL COMMITTEE DISTRICT 4,,
30,VOTE FOR 1,,
31,PETER MURPHY,40,33.33
32,ZAIDA GOVAN.,79,65.83
33,WRITE-IN,1,.83
34,Blanks,26,
