,0601 6A,VOTES 1242,PERCENT
0,REGISTERED VOTERS - TOTAL,123,
1,BALLOTS CAST - TOTAL.,,9.90
2,VOTER TURNOUT - TOTAL,,
3,MAYOR,,
4,VOTE FOR 1,66,54.10
5,DOMENIC J. SARNO,23,18.85
6,ANTONETTE E. PEPE.,33,27.05
7,JOSE F. TOSADO.,0,
8,WRITE-IN.,1,
9,Blanks,,
10,CITY COUNCIL AT LARGE,,
11,VOTE FOR 5,54,13.78
12,THOMAS ASHE.,39,9.95
13,JAMES J. FERRERA,46,11.73
14,TIMOTHY J. ROOKE,52,13.27
15,KATERI B. WALSH,15,3.83
16,BRUCE SAMUEL ADAMS JR,18,4.59
17,DAVID F. CIAMPI,12,3.06
18,JOSEPH R. FOUNTAIN,30,7.65
19,JUSTIN J. HURST,44,11.22
20,AMAAD RIVERA,14,3.57
21,CHARLES H. RUCKS,21,5.36
22,MIGUEL A. SOTO.,7,1.79
23,JOHN W. STEVENS,33,8.42
24,BUD L. WILLIAMS,7,1.79
25,WRITE-IN.,223,
