,,VOTES,PERCENT
0,REGISTERED VOTERS - TOTAL,1279,
1,BALLOTS CAST - TOTAL.,84,
2,VOTER TURNOUT - TOTAL,,6.57
3,MAYOR,,
4,VOTE FOR 1,,
5,DOMENIC J. SARNO,48,55.81
6,ANTONETTE E. PEPE.,11,12.79
7,JOSE F. TOSADO.,27,31.40
8,WRITE-IN.,0,
9,Blanks,0,
10,CITY COUNCIL AT LARGE,,
11,VOTE FOR 5,,
12,THOMAS ASHE.,39,13.00
13,JAMES J. FERRERA,37,12.33
14,TIMOTHY J. ROOKE,30,10.00
15,KATERI B. WALSH,34,11.33
16,BRUCE SAMUEL ADAMS JR,11,3.67
17,DAVID F. CIAMPI,7,2.33
18,JOSEPH R. FOUNTAIN,9,3.00
19,JUSTIN J. HURST,21,7.00
20,AMAAD RIVERA,27,9.00
21,CHARLES H. RUCKS .,11,3.67
22,MIGUEL A. SOTO. . .,32,10.67
23,JOHN W. STEVENS .,2,.67
24,BUD L. WILLIAMS,39,13.00
25,WRITE-IN.,1,.33
26,Blanks,130,
