,,VOTES,PERCENT
0,REGISTERED VOTERS - TOTAL,1545,
1,BALLOTS CAST - TOTAL.,328,
2,VOTER TURNOUT - TOTAL,,21.23
3,MAYOR,,
4,VOTE FOR 1,,
5,DOMENIC J. SARNO,193,59.38
6,ANTONETTE E. PEPE.,49,15.08
7,JOSE F. TOSADO.,82,25.23
8,WRITE-1 IN.,1,.31
9,Blanks,4,
10,CITY COUNCIL AT LARGE,,
11,VOTE FOR 5,,
12,THOMAS ASHE.,179,16.54
13,JAMES J. FERRERA,103,9.52
14,TIMOTHY J. ROOKE.,180,16.64
15,KATERI B. WALSH,115,10.63
16,BRUCE SAMUEL ADAMS JR,40,3.70
17,DAVID F. CIAMPI,25,2.31
18,JOSEPH R. FOUNTAIN,66,6.10
19,JUSTIN J. HURST,88,8.13
20,AMAAD RIVERA,68,6.28
21,CHARLES H. RUCKS,33,3.05
22,MIGUEL A. SOTO.,55,5.08
23,JOHN W. STEVENS,27,2.50
24,BUD L. WILLIAMS,102,9.43
25,WRITE-IN.,1,.09
26,Blanks,563,
