,,VOTES,PERCENT
0,REGISTERED VOTERS - TOTAL,1560,
1,BALLOTS CAST - TOTAL.,165,
2,VOTER TURNOUT - TOTAL,,10.58
3,CITY COUNCIL AT LARGE,,
4,VOTE FOR 5,,
5,THOMAS ASHE.,73,12.29
6,JUSTIN J. HURST,66,11.11
7,KATERI B. WALSH . .,76,12.79
8,ERNESTO E. CRUZ . .,29,4.88
9,VICTOR G. DAVILA . .,59,9.93
10,JESSE LEDERMAN. . .,68,11.45
11,JYNAI S. McDONALD.,24,4.04
12,KELLI P. MORIARTY-FINN,55,9.26
13,TIMOTHY RYAN,101,17.00
14,TRACYE L. WHITFIELD,42,7.07
15,WRITE-IN.,1,.17
16,Blanks,231,
17,CITY COUNCIL WARD 6,,
18,VOTE FOR 1,,
19,KENNETH SHEA,106,72.60
20,BOB COLLAMORE,40,27.40
21,WRITE-IN.,0,
22,Blanks,19,
23,SCHOOL COMMITTEE AT LARGE VOTE FOR 2,,
24,DENISE MARIE HURST,87,32.83
25,JAMES J. FERRERA III.,72,27.17
26,RYAN HESS,41,15.47
27,LaTONIA MONROE NAYLOR,65,24.53
28,WRITE-IN,0,
29,Blanks,65,
30,SCHOOL COMMITTEE DISTRICT 3,,
31,VOTE FOR 1,,
32,CHRISTOPHER COLLINS,109,99.09
33,WRITE-IN.,1,.91
34,Blanks,55,
