,0304 3D,VOTES,PERCENT
0,REGISTERED VOTERS - TOTAL,1178,
1,BALLOTS CAST - TOTAL.,144,
2,VOTER TURNOUT - TOTAL,,12.22
3,MAYOR,,
4,VOTE FOR 1,,
5,DOMENIC J. SARNO,86,59.72
6,JOSE F. TOSADO.,57,39.58
7,WRITE-IN.,1,.69
8,Blanks,0,
9,CITY COUNCIL AT LARGE,,
10,VOTE FOR 5,,
11,THOMAS ASHE.,58,12.06
12,JAMES J. FERRERA,43,8.94
13,TIMOTHY J. ROOKE,47,9.77
14,KATERI B. WALSH,43,8.94
15,JOSEPH R. FOUNTAIN,25,5.20
16,JUSTIN J. HURST .,43,8.94
17,AMAAD RIVERA,47,9.77
18,CHARLES H. RUCKS,44,9.15
19,MIGUEL A. SOTO.,50,10.40
20,BUD L. WILLIAMS,77,16.01
21,WRITE-IN,4,.83
22,Blanks,239,
23,CITY COUNCIL WARD 3,,
24,VOTE FOR 1,,
25,MELVIN A. EDWARDS.,83,95.40
26,WRITE-IN.,4,4.60
27,Blanks,57,
