,REGISTERED VOTERS - TOTAL,VOTES 1703,PERCENT
0,BALLOTS CAST - TOTAL.,223,
1,VOTER TURNOUT - TOTAL,,13.09
2,MAYOR,,
3,VOTE FOR 1,,
4,DOMENIC J. SARNO,170,85.86
5,SALVATORE S. CIRCOSTA,28,14.14
6,WRITE-IN.,0,
7,Blanks,25,
8,COUNCILLOR AT LARGE VOTE FOR 5,,
9,THOMAS ASHE.,101,16.34
10,JUSTIN J. HURST,95,15.37
11,TIMOTHY J. ROOKE,72,11.65
12,KATERI B. WALSH,95,15.37
13,BUD L. WILLIAMS,114,18.45
14,LaMAR COOK,31,5.02
15,JEFFERY P. DONNELLY,28,4.53
16,JESSE L. LEDERMAN.,35,5.66
17,"KENNETH S. POOLER, JR",13,2.10
18,ALEXANDER J. SHERMAN.,31,5.02
19,WRITE-IN.,3,.49
20,Blanks,497,
21,WARD ONE COUNCILLOR,,
22,VOTE FOR 1,,
23,ZAIDA LUNA,92,45.10
24,ADAM GOMEZ,110,53.92
25,WRITE-IN,2,.98
26,Blanks,19,
27,QUESTION 1,,
28,VOTE FOR 1,,
29,YES (SI),142,80.23
30,NO (NO),35,19.77
31,Blanks,46,
32,QUESTION 2,,
33,VOTE FOR 1,,
34,YES (SI),144,87.80
35,NO (NO),20,12.20
36,Blanks,59,
