,,VOTES,PERCENT
0,REGISTERED VOTERS - TOTAL,1434,
1,BALLOTS CAST - TOTAL.,133,
2,VOTER TURNOUT - TOTAL,,9.27
3,,,
4,MAYOR,,
5,VOTE FOR 1,,
6,DOMENIC J. SARNO,92,69.17
7,ANTONETTE E. PEPE.,7,5.26
8,JOSE F. TOSADO.,34,25.56
9,WRITE- IN.,0,
10,Blanks,1,
11,CITY COUNCIL AT LARGE,,
12,VOTE FOR 5,,
13,THOMAS ASHE.,38,9.29
14,JAMES J. FERRERA,26,6.36
15,TIMOTHY J. ROOKE,28,6.85
16,KATERI B. WALSH .,31,7.58
17,BRUCE SAMUEL ADAMS JR . .,13,3.18
18,DAVID F. CIAMPI . .,5,1.22
19,JOSEPH R. FOUNTAIN .,14,3.42
20,JUSTIN J. HURST .,65,15.89
21,AMAAD RIVERA,33,8.07
22,CHARLES H. RUCKS .,37,9.05
23,MIGUEL A. SOTO. . .,31,7.58
24,JOHN W. STEVENS .,5,1.22
25,BUD L. WILLIAMS .,82,20.05
26,WRITE-IN. .,1,.24
27,Blanks,261,
