,0508 5H,VOTES,PERCENT
0,REGISTERED VOTERS . TOTAL,1585,
1,BALLOTS CAST - TOTAL.,575,
2,VOTER TURNOUT - TOTAL,,36.28
3,MAYOR,,
4,VOTE FOR 1,,
5,DOMENIC J. SARNO,465,81.58
6,JOSE F. TOSADO.,103,18.07
7,WRITE-IN.,2,.35
8,Blanks,5,
9,CITY COUNCIL AT LARGE VOTE FOR 5,,
10,THOMAS ASHE.,345,15.65
11,JAMES J. FERRERA,300,13.61
12,TIMOTHY J. ROOKE,349,15.83
13,KATERI B. WALSH,291,13.20
14,JOSEPH R. FOUNTAIN,156,7.07
15,JUSTIN J. HURST,239,10.84
16,AMAAD RIVERA,91,4.13
17,CHARLES H. RUCKS,140,6.35
18,MIGUEL A. SOTO.,76,3.45
19,BUD L. WILLIAMS,217,9.84
20,WRITE-IN,1,.05
21,Blanks,670,
22,CITY COUNCIL WARD 5,,
23,VOTE FOR 1,,
24,CLODO CONCEPCION,387,98.98
25,WRITE-IN.,4,1.02
26,Blanks,184,
