,,0707 7G,VOTES,PERCENT
0,,REGISTERED VOTERS - TOTAL,1654 399,
1,,BALLOTS CAST - TOTAL.,,24.12
2,,VOTER TURNOUT - TOTAL,,
3,,MAYOR,,
4,,VOTE FOR 1,250,62.97
5,,DOMENIC J. SARNO,101,25.44
6,,ANTONETTE E. PEPE.,46,11.59
7,,JOSE F. TOSADO.,0,
8,,WRITE-IN,2,
9,,Blanks,,
10,,CITY COUNCIL AT LARGE,,
11,,VOTE FOR 5,243,16.24
12,,THOMAS ASHE.,196,13.10
13,,JAMES J. FERRERA,231,15.44
14,,TIMOTHY J. ROOKE,199,13.30
15,,KATERI B. WALSH,55,3.68
16,,BRUCE SAMUEL ADAMS JR,56,3.74
17,,DAVID F. CIAMPI,54,3.61
18,,JOSEPH R. FOUNTAIN,150,10.03
19,,JUSTIN J. HURST,47,3.14
20,,AMAAD RIVERA,60,4.01
21,,CHARLES H. RUCKS,33,2.21
22,,MIGUEL A. SOTO.,56,3.74
23,,JOHN W. STEVENS,113,7.55
24,,BUD L. WILLIAMS WRITE-IN. Blanks,3 499,.20
