,,VOTES,PERCENT
0,REGISTERED VOTERS - TOTAL,1722,
1,BALLOTS CAST - TOTAL.,221,
2,VOTER TURNOUT - TOTAL,,12.83
3,MAYOR,,
4,VOTE FOR 1,,
5,DOMENIC J. SARNO,184,85.58
6,YOLANDA CANCEL.,15,6.98
7,JEFFERY P. DONNELLY,7,3.26
8,LINDA MATYS 0'CONNELL,9,4.19
9,WRITE-IN.,0,
10,Blanks,6,
11,CITY COUNCIL AT LARGE,,
12,VOTE FOR 5,,
13,JUSTIN J. HURST,85,10.65
14,JESSE LEDERMAN.,116,14.54
15,KATERI B. WALSH,120,15.04
16,TRACYE L. WHITFIELD .,61,7.64
17,LaMAR COOK,26,3.26
18,SEAN CURRAN.,87,10.90
19,KENCY GILET.,15,1.88
20,JOHNNIE RAY MCKNIGHT.,36,4.51
21,KELLI P. MORIARTY-FINN,100,12.53
22,CHRISTOPHER J. POHNER,129,16.17
23,ISRAEL RIVERA,23,2.88
24,WRITE-IN.,0,
25,Blanks,307,
