,,VOTES,PERCENT
0,REGISTERED VOTERS - TOTAL,1821,
1,BALLOTS CAST - TOTAL.,146,
2,VOTER TURNOUT - TOTAL,,8.02
3,CITY COUNCIL AT LARGE,,
4,VOTE FOR 5,,
5,THOMAS ASHE.,62,11.85
6,JUSTIN J. HURST,72,13.77
7,KATERI B. WALSH .,70,13.38
8,ERNESTO E. CRUZ .,47,8.99
9,VICTOR G. DAVILA .,30,5.74
10,JESSE LEDERMAN. . .,43,8.22
11,JYNAI S. McDONALD.,31,5.93
12,KELLI P. MORIARTY-FINN,45,8.60
13,TIMOTHY RYAN,52,9.94
14,TRACYE L. WHITFIELD,62,11.85
15,WRITE-IN.,9,1.72
16,Blanks,207,
17,CITY COUNCIL WARD 8,,
18,VOTE FOR 1,,
19,ORLANDO RAMOS,103,88.79
20,WRITE-IN.,13,11.21
21,Blanks,30,
22,SCHOOL COMMITTEE AT LARGE,,
23,VOTE FOR 2,,
24,DENISE MARIE HURST,82,36.44
25,JAMES J. FERRERA III.,52,23.11
26,RYAN HESS,22,9.78
27,LaTONIA MONROE NAYLOR,69,30.67
28,WRITE-IN.,0,
29,Blanks,67,
30,SCHOOL COMMITTEE DISTRICT 4,,
31,VOTE FOR 1,,
32,PETER MURPHY,54,43.55
33,ZAIDA GOVAN.,70,56.45
34,WRITE-IN,0,
35,Blanks,22,
