,0301 3A,VOTES,PERCENT
0,REGISTERED VOTERS - TOTAL,1492,
1,BALLOTS CAST - TOTAL.,126,
2,VOTER TURNOUT . TOTAL,,8.45
3,MAYOR,,
4,VOTE FOR 1,,
5,DOMENIC J. SARNO,87,71.31
6,SALVATORE S. CIRCOSTA,35,28.69
7,WRITE-IN.,0,
8,Blanks,4,
9,COUNCILLOR AT LARGE,,
10,VOTE FOR 5,,
11,THOMAS ASHE.,63,15.11
12,JUSTIN J. HURST,57,13.67
13,TIMOTHY J. ROOKE,50,11.99
14,KATERI B. WALSH,57,13.67
15,BUD L. WILLIAMS,71,17.03
16,LaMAR COOK,26,6.24
17,JEFFERY P. DONNELLY,16,3.84
18,JESSE L. LEDERMAN.,37,8.87
19,"KENNETH S. POOLER, JR",18,4.32
20,ALEXANDER J. SHERMAN.,21,5.04
21,WRITE-IN,1,.24
22,Blanks,215,
23,WARD THREE COUNCILLOR,,
24,VOTE FOR 1,,
25,MELVIN A. EDWARDS.,73,65.77
26,YOLANDA R. L. CANCEL,38,34.23
27,WRITE-IN.,0,
28,Blanks,15,
29,QUESTION 1,,
30,VOTE FOR 1,,
31,YES (SI),77,72.64
32,NO (NO),29,27.36
33,Blanks,20,
34,QUESTION 2,,
35,VOTE FOR 1,,
36,YES (SI),66,67.35
37,NO (NO),32,32.65
38,Blanks,28,
