,0501 5A,VOTES,PERCENT
0,REGISTERED VOTERS - TOTAL,1339,
1,BALLOTS CAST - TOTAL,249,
2,VOTER TURNOUT - TOTAL,,18.60
3,MAYOR,,
4,VOTE FOR 1,,
5,DOMENIC J. SARNO,189,75.90
6,JOSE F. TOSADO.,59,23.69
7,WRITE-IN.,1,.40
8,Blanks,0,
9,CITY COUNCIL AT LARGE VOTE FOR 5,,
10,THOMAS ASHE.,105,11.55
11,JAMES J. FERRERA,81,8.91
12,TIMOTHY J. ROOKE,80,8.80
13,KATERI B. WALSH,104,11.44
14,JOSEPH R. FOUNTAIN .,28,3.08
15,JUSTIN J. HURST .,136,14.96
16,AMAAD RIVERA .,51,5.61
17,CHARLES H. RUCKS,118,12.98
18,MIGUEL A. SOTO.,39,4.29
19,BUD L. WILLIAMS,166,18.26
20,WRITE-IN.,1,.11
21,Blanks,336,
22,CITY COUNCIL WARD 5,,
23,VOTE FOR 1,,
24,CLODO CONCEPCION,102,96.23
25,WRITE-IN.,4,3.77
26,Blanks,143,
