,REGISTERED VOTERS - TOTAL,VOTES 1681,PERCENT
0,BALLOTS CAST - TOTAL.,223,
1,VOTER TURNOUT - TOTAL,,13.27
2,MAYOR,,
3,VOTE FOR 1,,
4,DOMENIC J. SARNO,153,72.17
5,SALVATORE S. CIRCOSTA,56,26.42
6,WRITE-IN.,3,1.42
7,Blanks,11,
8,COUNCILLOR AT LARGE VOTE FOR 5,,
9,THOMAS ASHE.,87,11.73
10,JUSTIN J. HURST,147,19.81
11,TIMOTHY J. ROOKE,78,10.51
12,KATERI B. WALSH,92,12.40
13,BUD L. WILLIAMS,143,19.27
14,LaMAR COOK,68,9.16
15,JEFFERY P. DONNELLY,8,1.08
16,JESSE L. LEDERMAN.,93,12.53
17,"KENNETH S. POOLER, JR",10,1.35
18,ALEXANDER J. SHERMAN.,14,1.89
19,WRITE-IN.,2,.27
20,Blanks,373,
21,WARD FOUR COUNCILLOR,,
22,VOTE FOR 1,,
23,E. HENRY TWIGGS,136,69.04
24,VICTORIA E. ROWE,60,30.46
25,WRITE-IN,1,.51
26,Blanks,26,
27,QUESTION 1,,
28,VOTE FOR 1,,
29,YES (SI),119,61.34
30,NO (NO),75,38.66
31,Blanks,29,
32,QUESTION 2,,
33,VOTE FOR 1,,
34,YES (SI),101,56.42
35,NO (NO),78,43.58
36,Blanks,44,
