,0606 6F,VOTES,PERCENT
0,REGISTERED VOTERS - TOTAL,1434,
1,BALLOTS CAST - TOTAL.,293,
2,VOTER TURNOUT - TOTAL,,20.43
3,MAYOR,,
4,VOTE FOR 1,,
5,DOMENIC J. SARNO,233,79.79
6,JOSE F. TOSADO.,58,19.86
7,WRITE-IN.,1,.34
8,Blanks,1,
9,CITY COUNCIL AT LARGE,,
10,VOTE FOR 5,,
11,THOMAS ASHE.,160,14.59
12,JAMES J. FERRERA,157,14.31
13,TIMOTHY J. ROOKE .,131,11.94
14,KATERI B. WALSH .,159,14.49
15,JOSEPH R. FOUNTAIN,58,5.29
16,JUSTIN J. HURST .,103,9.39
17,AMAAD RIVERA,100,9.12
18,CHARLES H. RUCKS,61,5.56
19,MIGUEL A. SOTO.,57,5.20
20,BUD L. WILLIAMS,110,10.03
21,WRITE-IN.,1,.09
22,Blanks,368,
23,CITY COUNCIL WARD 6,,
24,VOTE FOR 1,,
25,KENNETH E. SHEA,189,98.44
26,WRITE-IN.,3,1.56
27,Blanks,101,
