,0203 2C,VOTES,PERCENT
0,REGISTERED VOTERS - TOTAL,1542,
1,BALLOTS CAST - TOTAL.,178,
2,VOTER TURNOUT - TOTAL,,11.54
3,MAYOR,,
4,VOTE FOR 1,,
5,DOMENIC J. SARNO,113,63.84
6,ANTONETTE E. PEPE.,21,11.86
7,JOSE F. TOSADO.,43,24.29
8,WRITE-IN.,0,
9,Blanks,1,
10,CITY COUNCIL AT LARGE,,
11,VOTE FOR 5,,
12,THOMAS ASHE.,106,18.15
13,JAMES J. FERRERA,56,9.59
14,TIMOTHY J. ROOKE,90,15.41
15,KATERI B. WALSH,78,13.36
16,BRUCE SAMUEL ADAMS JR,15,2.57
17,DAVID F. CIAMPI,5,.86
18,JOSEPH R. FOUNTAIN,32,5.48
19,JUSTIN J. HURST,37,6.34
20,AMAAD RIVERA,26,4.45
21,CHARLES H. RUCKS,10,1.71
22,MIGUEL A. SOTO.,44,7.53
23,JOHN W. STEVENS,21,3.60
24,BUD L. WILLIAMS,64,10.96
25,WRITE-IN,0,
26,Blanks,307,
