,0204 2D,VOTES,PERCENT
0,REGISTERED VOTERS - TOTAL,1576,
1,BALLOTS CAST - TOTAL.,341,
2,VOTER TURNOUT - TOTAL,,21.64
3,MAYOR,,
4,VOTE FOR 1,,
5,DOMENIC J. SARNO,242,71.18
6,JOSE F. TOSADO.,97,28.53
7,WRITE-IN,1,.29
8,Blanks,1,
9,CITY COUNCIL AT LARGE,,
10,VOTE FOR 5,,
11,THOMAS ASHE.,205,15.90
12,JAMES J. FERRERA,167,12.96
13,TIMOTHY J. ROOKE,178,13.81
14,KATERI B. WALSH .,147,11.40
15,JOSEPH R. FOUNTAIN .,119,9.23
16,JUSTIN J. HURST .,96,7.45
17,AMAAD RIVERA,102,7.91
18,CHARLES H. RUCKS,62,4.81
19,MIGUEL A. SOTO.,78,6.05
20,BUD L. WILLIAMS,129,10.01
21,WRITE-IN.,6,.47
22,Blanks,416,
23,CITY COUNCIL WARD 2,,
24,VOTE FOR 1,,
25,MICHAEL A. FENTON.,242,98.78
26,WRITE-IN.,3,1.22
27,Blanks,96,
