,REGISTERED VOTERS - TOTAL,VOTES 1716,PERCENT
0,BALLOTS CAST - TOTAL.,81,
1,VOTER TURNOUT - TOTAL,,4.72
2,MAYOR,,
3,VOTE FOR 1,,
4,DOMENIC J. SARNO,60,75.00
5,YOLANDA CANCEL.,10,12.50
6,JEFFERY P. DONNELLY,8,10.00
7,LINDA MATYS 0 'CONNELL,2,2.50
8,WRITE-IN.,0,
9,Blanks,1,
10,CITY COUNCIL AT LARGE,,
11,VOTE FOR 5,,
12,JUSTIN J. HURST,43,15.75
13,JESSE LEDERMAN.,26,9.52
14,KATERI B. WALSH,39,14.29
15,TRACYE L. WHITFIELD,27,9.89
16,LaMAR COOK,15,5.49
17,SEAN CURRAN.,29,10.62
18,KENCY GILET.,5,1.83
19,JOHNNIE RAY MCKNIGHT.,13,4.76
20,KELLI P. MORIARTY-FINN,22,8.06
21,CHRISTOPHER J. POHNER,39,14.29
22,ISRAEL RIVERA,15,5.49
23,WRITE-IN.,0,
24,Blanks,132,
