,,VOTES,PERCENT
0,REGISTERED VOTERS - TOTAL,1504,
1,BALLOTS CAST - TOTAL.,184,
2,VOTER TURNOUT - TOTAL,,12.23
3,,,
4,MAYOR,,
5,VOTE FOR 1,,
6,DOMENIC J. SARNO,103,55.98
7,ANTONETTE E. PEPE.,46,25.00
8,JOSE F. TOSADO.,34,18.48
9,WRITE-1 - IN.,1,.54
10,Blanks,0,
11,CITY COUNCIL AT LARGE,,
12,VOTE FOR 5,,
13,THOMAS ASHE.,90,13.08
14,JAMES J. FERRERA,69,10.03
15,TIMOTHY J. ROOKE,74,10.76
16,KATERI B. WALSH,91,13.23
17,BRUCE SAMUEL ADAMS JR .,24,3.49
18,DAVID F. CIAMPI .,17,2.47
19,JOSEPH R. FOUNTAIN,32,4.65
20,JUSTIN J. HURST,63,9.16
21,AMAAD RIVERA,41,5.96
22,CHARLES H. RUCKS,51,7.41
23,MIGUEL A. SOTO.,28,4.07
24,JOHN W. STEVENS,26,3.78
25,BUD L. WILLIAMS,77,11.19
26,WRITE-IN.,5,.73
27,Blanks,232,
