,0107 1G,VOTES,PERCENT
0,REGISTERED VOTERS - TOTAL,1887,
1,BALLOTS CAST - TOTAL.,195,
2,VOTER TURNOUT - TOTAL,,10.33
3,MAYOR,,
4,VOTE FOR 1,,
5,DOMENIC J. SARNO,119,61.98
6,JOSE F. TOSADO.,73,38.02
7,WRITE-IN.,0,
8,Blanks,4,
9,CITY COUNCIL AT LARGE VOTE FOR 5,,
10,THOMAS ASHE.,93,13.01
11,JAMES J. FERRERA,69,9.65
12,TIMOTHY J. ROOKE,89,12.45
13,KATERI B. WALSH .,86,12.03
14,JOSEPH R. FOUNTAIN,37,5.17
15,JUSTIN J. HURST,57,7.97
16,AMAAD RIVERA .,71,9.93
17,CHARLES H. RUCKS,69,9.65
18,MIGUEL A. SOTO.,53,7.41
19,BUD L. WILLIAMS,89,12.45
20,WRITE-IN,2,.28
21,Blanks,265,
22,CITY COUNCIL WARD 1,,
23,VOTE FOR 1,,
24,ZAIDA LUNA,119,96.75
25,WRITE-IN.,4,3.25
26,Blanks,73,
