,0403 4C,VOTES,PERCENT
0,REGISTERED VOTERS - TOTAL,1273,
1,BALLOTS CAST - TOTAL.,192,
2,VOTER TURNOUT - TOTAL,,15.08
3,MAYOR,,
4,VOTE FOR 1,,
5,DOMENIC J. SARNO,131,69.68
6,JOSE F. TOSADO.,57,30.32
7,WRITE-IN.,0,
8,Blanks,4,
9,CITY COUNCIL AT LARGE,,
10,VOTE FOR 5,,
11,THOMAS ASHE.,66,10.19
12,JAMES J. FERRERA,53,8.18
13,TIMOTHY J. ROOKE,47,7.25
14,KATERI B. WALSH,57,8.80
15,JOSEPH R. FOUNTAIN,16,2.47
16,JUSTIN J. HURST,103,15.90
17,AMAAD RIVERA,59,9.10
18,CHARLES H. RUCKS,70,10.80
19,MIGUEL A. SOTO.,47,7.25
20,BUD L. WILLIAMS,128,19.75
21,WRITE-IN.,2,.31
22,Blanks,312,
23,CITY COUNCIL WARD 4,,
24,VOTE FOR 1,,
25,E. HENRY TWIGGS,127,98.45
26,WRITE-IN.,2,1.55
27,Blanks,63,
