,0307 3G,VOTES,PERCENT
0,REGISTERED VOTERS - TOTAL,1281,
1,BALLOTS CAST - TOTAL.,125,
2,VOTER TURNOUT - TOTAL,,9.76
3,MAYOR,,
4,VOTE FOR 1,,
5,DOMENIC J. SARNO,80,64.52
6,JOSE F. TOSADO.,44,35.48
7,WRITE-IN.,0,
8,Blanks,1,
9,CITY COUNCIL AT LARGE,,
10,VOTE FOR 5,,
11,THOMAS ASHE.,61,13.90
12,JAMES J. FERRERA,53,12.07
13,TIMOTHY J. ROOKE .,49,11.16
14,KATERI B. WALSH .,52,11.85
15,JOSEPH R. FOUNTAIN .,11,2.51
16,JUSTIN J. HURST .,41,9.34
17,AMAAD RIVERA,60,13.67
18,CHARLES H. RUCKS,25,5.69
19,MIGUEL A. SOTO.,34,7.74
20,BUD L. WILLIAMS,53,12.07
21,WRITE-IN.,0,
22,Blanks,186,
23,CITY COUNCIL WARD 3 VOTE FOR 1,,
24,MELVIN A. EDWARDS.,76,98.70
25,WRITE-IN.,1,1.30
26,Blanks,48,
