,,VOTES,PERCENT
0,REGISTERED VOTERS - TOTAL,1312,
1,BALLOTS CAST - TOTAL.,131,
2,VOTER TURNOUT - TOTAL,,9.98
3,MAYOR,,
4,VOTE FOR 1,,
5,DOMENIC J. SARNO,90,73.17
6,YOLANDA CANCEL,23,18.70
7,JEFFERY P. DONNELLY,5,4.07
8,LINDA MATYS D'CONNELL,4,3.25
9,WRITE-IN.,1,.81
10,Blanks,8,
11,CITY COUNCIL AT LARGE,,
12,VOTE FOR 5,,
13,JUSTIN J. HURST,90,18.60
14,JESSE LEDERMAN.,64,13.22
15,KATERI B. WALSH,58,11.98
16,TRACYE L. WHITFIELD,96,19.83
17,LaMAR COOK,62,12.81
18,SEAN CURRAN.,24,4.96
19,KENCY GILET.,7,1.45
20,JOHNNIE RAY MCKNIGHT.,33,6.82
21,KELLI P. MORIARTY-FINN,11,2.27
22,CHRISTOPHER J. POHNER,11,2.27
23,ISRAEL RIVERA,26,5.37
24,WRITE-IN.,2,.41
25,Blanks,171,
26,CITY COUNCIL WARD 4,,
27,VOTE FOR 1,,
28,MALO L. BROWN,89,69.53
29,LORENZO D. GAINES.,12,9.38
30,LARRY LAWSON,2,1.56
31,JYNAI S. MCDONALD.,24,18.75
32,"GEORGE A. SAVAGE, JR.",1,.78
33,WRITE-IN.,0,
34,Blanks,3,
