,0607 6G,VOTES,PERCENT
0,REGISTERED VOTERS - TOTAL,1463,
1,BALLOTS CAST - TOTAL.,121,
2,VOTER TURNOUT - TOTAL,,8.27
3,CITY COUNCIL AT LARGE,,
4,VOTE FOR 5,,
5,THOMAS M. ASHE.,63,14.42
6,JAMES J. FERRERA,57,13.04
7,TIMOTHY ROOKE,57,13.04
8,KATERI B. WALSH . .,63,14.42
9,BUD L. WILLIAMS . .,47,10.76
10,JOSHUA CARPENTER,22,5.03
11,ERNESTO E. CRUZ,44,10.07
12,JEFFERY P. DONNELLY,22,5.03
13,JUSTIN J. HURST,62,14.19
14,WRITE-IN.,0,
15,Blanks,168,
16,CITY COUNCIL WARD 6 VOTE FOR 1,,
17,KENNETH SHEA,87,98.86
18,WRITE-IN.,1,1.14
19,Blanks,33,
20,SCHOOL COMMITTEE AT LARGE,,
21,VOTE FOR 2,,
22,DENISE M. HURST,61,32.28
23,ANTONETTE PEPE.,73,38.62
24,CALVIN J. McFADDEN,55,29.10
25,WRITE-IN,0,
26,Blanks,53,
27,SCHOOL COMMITTEE DISTRICT 3,,
28,VOTE FOR 1,,
29,CHRISTOPHER COLLINS,87,100.00
30,WRITE-IN.,0,
31,Blanks,34,
