,,VOTES,PERCENT
0,REGISTERED VOTERS - TOTAL,538,
1,BALLOTS CAST - TOTAL.,62,
2,VOTER TURNOUT - TOTAL,,11.52
3,MAYOR,,
4,VOTE FOR 1,,
5,DOMENIC J. SARNO,49,79.03
6,ANTONETTE E. PEPE.,3,4.84
7,JOSE F. TOSADO.,10,16.13
8,WRITE-IN,0,
9,Blanks,0,
10,CITY COUNCIL AT LARGE,,
11,VOTE FOR 5,,
12,THOMAS ASHE.,21,10.50
13,JAMES J. FERRERA,10,5.00
14,TIMOTHY J. ROOKE,15,7.50
15,KATERI B. WALSH,22,11.00
16,BRUCE SAMUEL ADAMS JR,8,4.00
17,DAVID F. CIAMPI,1,.50
18,JOSEPH R. FOUNTAIN,2,1.00
19,JUSTIN J. HURST,33,16.50
20,AMAAD RIVERA,12,6.00
21,CHARLES H. RUCKS,23,11.50
22,MIGUEL A. SOTO.,9,4.50
23,JOHN W. STEVENS,2,1.00
24,BUD L. WILLIAMS,36,18.00
25,WRITE-IN,6,3.00
26,Blanks,110,
