,0507 5G,VOTES,PERCENT
0,REGISTERED VOTERS - TOTAL,1577,
1,BALLOTS CAST - TOTAL.,473,
2,VOTER TURNOUT - TOTAL,,29.99
3,MAYOR,,
4,VOTE FOR 1,,
5,DOMENIC J. SARNO,364,77.78
6,JOSE F. TOSADO.,104,22.22
7,WRITE-IN.,0,
8,Blanks,5,
9,CITY COUNCIL AT LARGE VOTE FOR 5,,
10,THOMAS ASHE.,281,15.79
11,JAMES J. FERRERA,238,13.37
12,TIMOTHY J. ROOKE,244,13.71
13,KATERI B. WALSH .,246,13.82
14,JOSEPH R. FOUNTAIN .,123,6.91
15,JUSTIN J. HURST .,223,12.53
16,AMAAD RIVERA .,86,4.83
17,CHARLES H. RUCKS,109,6.12
18,MIGUEL A. SOTO.,63,3.54
19,BUD L. WILLIAMS,162,9.10
20,WRITE-IN.,5,.28
21,Blanks,585,
22,CITY COUNCIL WARD 5,,
23,VOTE FOR 1,,
24,CLODO CONCEPCION,318,97.85
25,WRITE-IN.,7,2.15
26,Blanks,148,
