,0202 2B,VOTES,PERCENT
0,REGISTERED VOTERS - TOTAL,1671,
1,BALLOTS CAST - TOTAL.,268,
2,VOTER TURNOUT - TOTAL,,16.04
3,CITY COUNCIL AT LARGE,,
4,VOTE FOR 5,,
5,THOMAS M. ASHE.,139,16.39
6,JAMES J. FERRERA,83,9.79
7,TIMOTHY ROOKE,155,18.28
8,KATERI B. WALSH .,109,12.85
9,BUD L. WILLIAMS .,96,11.32
10,JOSHUA CARPENTER,25,2.95
11,ERNESTO E. CRUZ,66,7.78
12,JEFFERY P. DONNELLY,41,4.83
13,JUSTIN J. HURST,133,15.68
14,WRITE-IN,1,.12
15,Blanks,492,
16,CITY COUNCIL WARD 2,,
17,VOTE FOR 1,,
18,MICHAEL A. FENTON.,208,99.05
19,WRITE-IN.,2,.95
20,Blanks,58,
21,SCHOOL COMMITTEE AT LARGE,,
22,VOTE FOR 2,,
23,DENISE M. HURST,151,41.48
24,ANTONETTE PEPE.,98,26.92
25,CALVIN J. McFADDEN,115,31.59
26,WRITE-IN.,0,
27,Blanks,172,
28,SCHOOL COMMITTEE DISTRICT 4,,
29,VOTE FOR 1,,
30,PETER M. MURPHY,183,77.54
31,ZAIDA GOVAN.,52,22.03
32,WRITE-IN.,1,.42
33,Blanks,32,
