,,VOTES,PERCENT
0,REGISTERED VOTERS - TOTAL,1675,
1,BALLOTS CAST - TOTAL.,183,
2,VOTER TURNOUT - TOTAL,,10.93
3,MAYOR,,
4,VOTE FOR 1,,
5,DOMENIC J. SARNO,94,51.93
6,ANTONETTE E. PEPE.,12,6.63
7,JOSE F. TOSADO.,75,41.44
8,WRITE- - IN.,0,
9,Blanks,2,
10,,,
11,CITY COUNCIL AT LARGE VOTE FOR 5,,
12,THOMAS ASHE.,78,11.69
13,JAMES J. FERRERA,77,11.54
14,TIMOTHY J. ROOKE,67,10.04
15,KATERI B. WALSH,70,10.49
16,BRUCE SAMUEL ADAMS JR,28,4.20
17,DAVID F. CIAMPI,13,1.95
18,JOSEPH R. FOUNTAIN,31,4.65
19,JUSTIN J. HURST,49,7.35
20,AMAAD RIVERA,73,10.94
21,CHARLES H. RUCKS . .,20,3.00
22,MIGUEL A. SOTO. .,71,10.64
23,JOHN W. STEVENS .,21,3.15
24,BUD L. WILLIAMS .,66,9.90
25,WRITE-IN.,3,.45
26,Blanks,248,
