,0806 8F,VOTES,PERCENT
0,REGISTERED VOTERS - TOTAL,1424,
1,BALLOTS CAST - TOTAL.,195,
2,VOTER TURNOUT - TOTAL,,13.69
3,MAYOR,,
4,VOTE FOR 1,,
5,DOMENIC J. SARNO,105,54.12
6,ANTONETTE E. PEPE.,48,24.74
7,JOSE F. TOSADO.,41,21.13
8,WRITE-IN.,0,
9,Blanks,2,
10,CITY COUNCIL AT LARGE,,
11,VOTE FOR 5,,
12,THOMAS ASHE.,80,11.71
13,JAMES J. FERRERA,67,9.81
14,TIMOTHY J. ROOKE,77,11.27
15,KATERI B. WALSH,83,12.15
16,BRUCE SAMUEL ADAMS JR,33,4.83
17,DAVID F. CIAMPI,17,2.49
18,JOSEPH R. FOUNTAIN,29,4.25
19,JUSTIN J. HURST,69,10.10
20,AMAAD RIVERA,50,7.32
21,CHARLES H. RUCKS,34,4.98
22,MIGUEL A. SOTO.,43,6.30
23,JOHN W. STEVENS,34,4.98
24,BUD L. WILLIAMS,66,9.66
25,WRITE-IN.,1,.15
26,Blanks,297,
