,,0603 6C,VOTES,PERCENT
0,,REGISTERED VOTERS - TOTAL,1634 292,
1,,BALLOTS CAST - TOTAL,,17.87
2,,VOTER TURNOUT - TOTAL,,
3,,MAYOR,,
4,,VOTE FOR 1,209,72.07
5,,DOMENIC J. SARNO,50,17.24
6,,ANTONETTE E. PEPE.,31,10.69
7,,JOSE F. TOSADO.,0,
8,,WRITE-IN.,2,
9,,Blanks,,
10,,CITY COUNCIL AT LARGE.,,
11,,VOTE FOR 5,172,15.78
12,,THOMAS ASHE.,135,12.39
13,,JAMES J. FERRERA,141,12.94
14,,TIMOTHY J. ROOKE,162,14.86
15,,KATERI B. WALSH,38,3.49
16,,BRUCE SAMUEL ADAMS JR,48,4.40
17,,DAVID F. CIAMPI,44,4.04
18,,JOSEPH R. FOUNTAIN,60,5.50
19,,JUSTIN J. HURST,70,6.42
20,,AMAAD RIVERA,36,3.30
21,,CHARLES H. RUCKS,32,2.94
22,,MIGUEL A. SOTO.,38,3.49
23,,JOHN W. STEVENS,106,9.72
24,,BUD L. WILLIAMS,8,.73
25,,WRITE-IN.,370,
26,,Blanks,,
