,0504 5D,VOTES,PERCENT
0,REGISTERED VOTERS - TOTAL,1351,
1,BALLOTS CAST - TOTAL.,436,
2,VOTER TURNOUT - TOTAL,,32.27
3,MAYOR,,
4,VOTE FOR 1,,
5,DOMENIC J. SARNO,328,76.64
6,JOSE F. TOSADO.,98,22.90
7,WRITE-IN.,2,.47
8,Blanks,8,
9,CITY COUNCIL AT LARGE,,
10,VOTE FOR 5,,
11,THOMAS ASHE.,282,16.47
12,JAMES J. FERRERA,221,12.91
13,TIMOTHY J. ROOKE,263,15.36
14,KATERI B. WALSH .,230,13.43
15,JOSEPH R. FOUNTAIN,127,7.42
16,JUSTIN J. HURST,178,10.40
17,AMAAD RIVERA .,74,4.32
18,CHARLES H. RUCKS,113,6.60
19,MIGUEL A. SOTO.,63,3.68
20,BUD L. WILLIAMS,158,9.23
21,WRITE-IN.,3,.18
22,Blanks,468,
23,CITY COUNCIL WARD 5,,
24,VOTE FOR 1,,
25,CLODO CONCEPCION,299,98.03
26,WRITE-IN.,6,1.97
27,Blanks,131,
