,0105 1E,VOTES,PERCENT
0,REGISTERED VOTERS - TOTAL,1689,
1,BALLOTS CAST - TOTAL.,248,
2,VOTER TURNOUT - TOTAL,,14.68
3,CITY COUNCIL AT LARGE,,
4,VOTE FOR 5,,
5,THOMAS M. ASHE.,91,13.28
6,JAMES J. FERRERA,98,14.31
7,TIMOTHY ROOKE,73,10.66
8,KATERI B. WALSH .,77,11.24
9,BUD L. WILLIAMS .,105,15.33
10,JOSHUA CARPENTER,20,2.92
11,ERNESTO E. CRUZ,102,14.89
12,JEFFERY P. DONNELLY,33,4.82
13,JUSTIN J. HURST,82,11.97
14,WRITE-IN,4,.58
15,Blanks,555,
16,CITY COUNCIL WARD 1 VOTE FOR 1,,
17,ZAIDA LUNA,105,45.06
18,JOSE L. CLAUDIO,128,54.94
19,WRITE-IN,0,
20,Blanks,15,
21,SCHOOL COMMITTEE AT LARGE VOTE FOR 2,,
22,DENISE M. HURST,133,44.63
23,ANTONETTE PEPE.,88,29.53
24,CALVIN J. McFADDEN,75,25.17
25,WRITE-IN.,2,.67
26,Blanks,198,
27,SCHOOL COMMITTEE DISTRICT 1,,
28,VOTE FOR 1,,
29,NORMAN ROLDAN,92,40.89
30,ROSA PEREZ,133,59.11
31,WRITE-IN.,0,
32,Blanks,23,
