,3G,VOTES,PERCENT
0,REGISTERED VOTERS - TOTAL,1230,
1,BALLOTS CAST - TOTAL.,61,
2,VOTER TURNOUT - TOTAL,,4.96
3,CITY COUNCIL AT LARGE,,
4,VOTE FOR 5,,
5,THOMAS M. ASHE.,28,13.53
6,JAMES J. FERRERA,33,15.94
7,TIMOTHY ROOKE .,21,10.14
8,KATERI B. WALSH .,27,13.04
9,BUD L. WILLIAMS .,32,15.46
10,JOSHUA CARPENTER .,8,3.86
11,ERNESTO E. CRUZ,22,10.63
12,JEFFERY P. DONNELLY,9,4.35
13,JUSTIN J. HURST,26,12.56
14,WRITE-IN,1,.48
15,Blanks,98,
16,CITY COUNCIL WARD 3,,
17,VOTE FOR 1,,
18,MELVIN A. EDWARDS.,41,73.21
19,SALVATORE S. CIRCOSTA,15,26.79
20,WRITE-IN.,0,
21,Blanks,5,
22,SCHOOL COMMITTEE AT LARGE,,
23,VOTE FOR 2,,
24,DENISE M. HURST,36,38.71
25,ANTONETTE PEPE.,30,32.26
26,CALVIN J. McFADDEN,27,29.03
27,WRITE-IN.,0,
28,Blanks,29,
29,SCHOOL COMMITTEE DISTRICT 1,,
30,VOTE FOR 1,,
31,NORMAN ROLDAN,17,32.08
32,ROSA PEREZ,36,67.92
33,WRITE-IN.,0,
34,Blanks,8,
