,,VOTES,PERCENT
0,REGISTERED VOTERS - TOTAL,1494,
1,BALLOTS CAST - TOTAL,113,
2,VOTER TURNOUT - TOTAL,,7.56
3,CITY COUNCIL AT LARGE,,
4,VOTE FOR 5,,
5,THOMAS M. ASHE.,46,12.43
6,JAMES J. FERRERA,34,9.19
7,TIMOTHY ROOKE,38,10.27
8,KATERI B. WALSH . .,47,12.70
9,BUD L. WILLIAMS .,54,14.59
10,JOSHUA CARPENTER .,21,5.68
11,ERNESTO E. CRUZ,48,12.97
12,JEFFERY P. DONNELLY,23,6.22
13,JUSTIN J. HURST,57,15.41
14,WRITE-IN.,2,.54
15,Blanks,195,
16,CITY COUNCIL WARD 3,,
17,VOTE FOR 1,,
18,MELVIN A. EDWARDS.,50,52.08
19,SALVATORE S. CIRCOSTA,46,47.92
20,WRITE-IN.,0,
21,Blanks,17,
22,SCHOOL COMMITTEE AT LARGE VOTE FOR 2,,
23,DENISE M. HURST,51,30.36
24,ANTONETTE PEPE.,46,27.38
25,CALVIN J. McFADDEN,68,40.48
26,WRITE-IN.,3,1.79
27,Blanks,58,
28,SCHOOL COMMITTEE DISTRICT 1,,
29,VOTE FOR 1,,
30,NORMAN ROLDAN,30,35.71
31,ROSA PEREZ,54,64.29
32,WRITE-IN.,0,
33,Blanks,29,
