,0103 1C,VOTES,PERCENT
0,REGISTERED VOTERS - TOTAL,1432,
1,BALLOTS CAST - TOTAL.,129,
2,VOTER TURNOUT - TOTAL,,9.01
3,MAYOR,,
4,VOTE FOR 1,,
5,DOMENIC J. SARNO,86,69.92
6,SALVATORE S. CIRCOSTA,37,30.08
7,WRITE-IN.,0,
8,Blanks,6,
9,COUNCILLOR AT LARGE,,
10,VOTE FOR 5,,
11,THOMAS ASHE.,42,13.77
12,JUSTIN J. HURST,45,14.75
13,TIMOTHY J. ROOKE,34,11.15
14,KATERI B. WALSH,42,13.77
15,BUD L. WILLIAMS,59,19.34
16,LaMAR COOK,14,4.59
17,JEFFERY P. DONNELLY,14,4.59
18,JESSE L. LEDERMAN.,21,6.89
19,"KENNETH S. POOLER, JR",14,4.59
20,ALEXANDER J. SHERMAN.,20,6.56
21,WRITE-IN.,0,
22,Blanks,340,
23,WARD ONE COUNCILLOR,,
24,VOTE FOR 1,,
25,ZAIDA LUNA,57,45.60
26,ADAM GOMEZ,68,54.40
27,WRITE-IN.,0,
28,Blanks,4,
29,QUESTION 1,,
30,VOTE FOR 1,,
31,YES (SI),69,73.40
32,NO (NO),25,26.60
33,Blanks,35,
34,QUESTION 2,,
35,VOTE FOR 1,,
36,YES (SI),67,74.44
37,NO (NO),23,25.56
38,Blanks,39,
