,,VOTES,PERCENT
0,REGISTERED VOTERS - TOTAL,415,
1,BALLOTS CAST - TOTAL.,47,
2,VOTER TURNOUT - TOTAL,,11.33
3,MAYOR,,
4,VOTE FOR 1,,
5,DOMENIC J. SARNO,30,65.22
6,YOLANDA CANCEL.,12,26.09
7,JEFFERY P. DONNELLY,4,8.70
8,LINDA MATYS 0'CONNELL,0,
9,WRITE-IN.,0,
10,Blanks,1,
11,CITY COUNCIL AT LARGE,,
12,VOTE FOR 5,,
13,JUSTIN J. HURST,35,22.88
14,JESSE LEDERMAN.,22,14.38
15,KATERI B. WALSH,16,10.46
16,TRACYE L. WHITFIELD,35,22.88
17,LaMAR COOK,22,14.38
18,SEAN CURRAN.,5,3.27
19,KENCY GILET.,2,1.31
20,JOHNNIE RAY MCKNIGHT.,5,3.27
21,KELLI P. MORIARTY-FINN,2,1.31
22,CHRISTOPHER J. POHNER,2,1.31
23,ISRAEL RIVERA,7,4.58
24,WRITE-IN.,0,
25,Blanks,82,
26,CITY COUNCIL WARD 4,,
27,VOTE FOR 1,,
28,MALO L. BROWN,32,72.73
29,LORENZO D. GAINES.,3,6.82
30,LARRY LAWSON,0,
31,JYNAI S. MCDONALD.,9,20.45
32,"GEORGE A. SAVAGE, JR.",0,
33,WRITE-IN.,0,
34,Blanks,3,
