,,VOTES,PERCENT
0,REGISTERED VOTERS - TOTAL,1605,
1,BALLOTS CAST - TOTAL.,215,
2,VOTER TURNOUT - TOTAL,,13.40
3,MAYOR,,
4,VOTE FOR 1,,
5,DOMENIC J. SARNO,165,78.20
6,YOLANDA CANCEL.,32,15.17
7,JEFFERY P. DONNELLY,4,1.90
8,LINDA MATYS 0 'CONNELL,10,4.74
9,WRITE-IN.,0,
10,Blanks,4,
11,CITY COUNCIL AT LARGE,,
12,VOTE FOR 5,,
13,JUSTIN J. HURST,83,10.49
14,JESSE LEDERMAN.,97,12.26
15,KATERI B. WALSH,92,11.63
16,TRACYE L. WHITFIELD .,66,8.34
17,LaMAR COOK,51,6.45
18,SEAN CURRAN.,98,12.39
19,KENCY GILET.,39,4.93
20,JOHNNIE RAY MCKNIGHT.,45,5.69
21,KELLI P. MORIARTY-FINN,77,9.73
22,CHRISTOPHER J. POHNER,109,13.78
23,ISRAEL RIVERA,34,4.30
24,WRITE-IN.,0,
25,Blanks,284,
