,0207 2G,VOTES,PERCENT
0,REGISTERED VOTERS . TOTAL,1692,
1,BALLOTS CAST - TOTAL.,230,
2,VOTER TURNOUT - TOTAL,,13.59
3,CITY COUNCIL AT LARGE,,
4,VOTE FOR 5,,
5,THOMAS M. ASHE.,145,16.50
6,JAMES J. FERRERA,113,12.86
7,TIMOTHY ROOKE .,139,15.81
8,KATERI B. WALSH .,105,11.95
9,BUD L. WILLIAMS .,96,10.92
10,JOSHUA CARPENTER .,55,6.26
11,ERNESTO E. CRUZ,66,7.51
12,JEFFERY P. DONNELLY,64,7.28
13,JUSTIN J. HURST,96,10.92
14,WRITE-IN,0,
15,Blanks,271,
16,CITY COUNCIL WARD 2,,
17,VOTE FOR 1,,
18,MICHAEL A. FENTON.,165,100.00
19,WRITE-IN.,0,
20,Blanks,65,
21,SCHOOL COMMITTEE AT LARGE VOTE FOR 2,,
22,DENISE M. HURST,107,31.01
23,ANTONETTE PEPE.,141,40.87
24,CALVIN J. McFADDEN,97,28.12
25,WRITE-IN.,0,
26,Blanks,115,
27,SCHOOL COMMITTEE DISTRICT 4,,
28,VOTE FOR 1,,
29,PETER M. MURPHY,153,75.74
30,ZAIDA GOVAN.,48,23.76
31,WRITE-IN.,1,.50
32,Blanks,28,
