,,VOTES,PERCENT
0,REGISTERED VOTERS - TOTAL,1430,
1,BALLOTS CAST - TOTAL,204,
2,VOTER TURNOUT - TOTAL,,14.27
3,MAYOR,,
4,VOTE FOR 1,,
5,DOMENIC J. SARNO,126,62.69
6,JOSE F. TOSADO.,75,37.31
7,WRITE-IN.,0,
8,Blanks,3,
9,CITY COUNCIL AT LARGE VOTE FOR 5,,
10,THOMAS ASHE.,96,14.48
11,JAMES J. FERRERA,82,12.37
12,TIMOTHY J. ROOKE,68,10.26
13,KATERI B. WALSH,87,13.12
14,JOSEPH R. FOUNTAIN,50,7.54
15,JUSTIN J. HURST,68,10.26
16,AMAAD RIVERA,41,6.18
17,CHARLES H. RUCKS,43,6.49
18,MIGUEL A. SOTO.,68,10.26
19,BUD L. WILLIAMS,52,7.84
20,WRITE-IN.,8,1.21
21,Blanks,357,
22,CITY COUNCIL WARD 8,,
23,VOTE FOR 1,,
24,JOHN A. LYSAK,88,46.32
25,ORLANDO RAMOS,101,53.16
26,WRITE-IN.,1,.53
27,Blanks,14,
