,0105 1E,VOTES,PERCENT
0,REGISTERED VOTERS - TOTAL,1330,
1,BALLOTS CAST - TOTAL,168,
2,VOTER TURNOUT - TOTAL,,12.63
3,MAYOR,,
4,VOTE FOR 1,,
5,DOMENIC J. SARNO,72,43.37
6,JOSE F. TOSADO.,94,56.63
7,WRITE-IN.,0,
8,Blanks,2,
9,CITY COUNCIL AT LARGE VOTE FOR 5,,
10,THOMAS ASHE.,61,9.95
11,JAMES J. FERRERA,86,14.03
12,TIMOTHY J. ROOKE,52,8.48
13,KATERI B. WALSH .,49,7.99
14,JOSEPH R. FOUNTAIN,30,4.89
15,JUSTIN J. HURST,51,8.32
16,AMAAD RIVERA .,107,17.46
17,CHARLES H. RUCKS,22,3.59
18,MIGUEL A. SOTO.,96,15.66
19,BUD L. WILLIAMS,57,9.30
20,WRITE-IN,2,.33
21,Blanks,227,
22,CITY COUNCIL WARD 1,,
23,VOTE FOR 1,,
24,ZAIDA LUNA,116,82.27
25,WRITE-IN.,25,17.73
26,Blanks,27,
