,REGISTERED VOTERS - TOTAL,VOTES 1546,PERCENT
0,BALLOTS CAST - TOTAL.,266,
1,VOTER TURNOUT - TOTAL,,17.21
2,MAYOR,,
3,VOTE FOR 1,,
4,DOMENIC J. SARNO,156,60.70
5,SALVATORE S. CIRCOSTA,101,39.30
6,WRITE-IN.,0,
7,Blanks,9,
8,COUNCILLOR AT LARGE,,
9,VOTE FOR 5,,
10,THOMAS ASHE.,101,11.07
11,JUSTIN J. HURST,157,17.21
12,TIMOTHY J. ROOKE,78,8.55
13,KATERI B. WALSH,123,13.49
14,BUD L. WILLIAMS,135,14.80
15,LaMAR COOK,61,6.69
16,JEFFERY P. DONNELLY,26,2.85
17,JESSE L. LEDERMAN.,171,18.75
18,"KENNETH S. POOLER, JR",30,3.29
19,ALEXANDER J. SHERMAN.,27,2.96
20,WRITE-IN.,3,.33
21,Blanks,418,
22,WARD FOUR COUNCILLOR,,
23,VOTE FOR 1,,
24,E. HENRY TWIGGS,134,57.51
25,VICTORIA E. ROWE,99,42.49
26,WRITE-IN,0,
27,Blanks,33,
28,QUESTION 1,,
29,VOTE FOR 1,,
30,YES (SI),159,65.16
31,NO (NO),85,34.84
32,Blanks,22,
33,QUESTION 2,,
34,VOTE FOR 1,,
35,YES (SI),124,54.87
36,NO (NO),102,45.13
37,Blanks,40,
