,,0606 6F,VOTES,PERCENT
0,,REGISTERED VOTERS - TOTAL,1424,
1,,BALLOTS CAST - TOTAL.,189,13.27
2,,VOTER TURNOUT - TOTAL,,
3,,MAYOR,,
4,,VOTE FOR 1,128,68.45
5,,DOMENIC J. SARNO,21,11.23
6,,ANTONETTE E. PEPE.,38,20.32
7,,JOSE F. TOSADO.,0,
8,,WRITE-IN.,2,
9,,Blanks,,
10,,CITY COUNCIL AT LARGE,,
11,,VOTE FOR 5,102,15.07
12,,THOMAS ASHE.,78,11.52
13,,JAMES J. FERRERA,80,11.82
14,,TIMOTHY J. ROOKE,91,13.44
15,,KATERI B. WALSH,17,2.51
16,,BRUCE SAMUEL ADAMS JR,18,2.66
17,,DAVID F. CIAMPI,25,3.69
18,,JOSEPH R. FOUNTAIN,53,7.83
19,,JUSTIN J. HURST,56,8.27
20,,AMAAD RIVERA,31,4.58
21,,CHARLES H. RUCKS,34,5.02
22,,MIGUEL A. SOTO.,17,2.51
23,,JOHN W. STEVENS,73,10.78
24,,BUD L. WILLIAMS,2,.30
25,,WRITE-IN.,268,
