,,,VOTES,PERCENT
0,,REGISTERED VOTERS - TOTAL,1587,
1,,BALLOTS CAST - TOTAL.,217,
2,,VOTER TURNOUT - TOTAL,,13.67
3,,CITY COUNCIL AT LARGE,,
4,,VOTE FOR 5,,
5,,THOMAS M. ASHE.,104,13.76
6,,JAMES J. FERRERA,82,10.85
7,,TIMOTHY ROOKE,90,11.90
8,,KATERI B. WALSH . .,97,12.83
9,,BUD L. WILLIAMS . . .,111,14.68
10,,JOSHUA CARPENTER . .,33,4.37
11,,ERNESTO E. CRUZ,75,9.92
12,,JEFFERY P. DONNELLY,47,6.22
13,,JUSTIN J. HURST,117,15.48
14,,WRITE-IN.,0,
15,,Blanks,329,
16,,CITY COUNCIL WARD 8,,
17,,VOTE FOR 1,,
18,,JOHN A. LYSAK,79,38.35
19,,ORLANDO RAMOS,127,61.65
20,,WRITE-IN.,0,
21,,Blanks,11,
22,,SCHOOL COMMITTEE AT LARGE VOTE FOR 2,,
23,,DENISE M. HURST,138,41.57
24,,ANTONETTE PEPE.,91,27.41
25,,CALVIN J. McFADDEN,103,31.02
26,,WRITE-IN.,0,
27,,Blanks,102,
28,,SCHOOL COMMITTEE DISTRICT 4,,
29,,VOTE FOR 1,,
30,,PETER M. MURPHY,90,47.62
31,,ZAIDA GOVAN.,99,52.38
32,,WRITE-IN.,0,
33,,Blanks,28,
