,REGISTERED VOTERS - TOTAL,1445,
0,BALLOTS CAST - TOTAL.,213,
1,VOTER TURNOUT - TOTAL,,14.74
2,MAYOR,,
3,VOTE FOR 1,,
4,DOMENIC J. SARNO,139,66.83
5,SALVATORE S. CIRCOSTA,63,30.29
6,WRITE-IN.,6,2.88
7,Blanks,5,
8,COUNCILLOR AT LARGE,,
9,VOTE FOR 5,,
10,THOMAS ASHE.,101,14.31
11,JUSTIN J. HURST,98,13.88
12,TIMOTHY J. ROOKE,92,13.03
13,KATERI B. WALSH,121,17.14
14,BUD L. WILLIAMS,72,10.20
15,LaMAR COOK,39,5.52
16,JEFFERY P. DONNELLY,21,2.97
17,JESSE L. LEDERMAN.,116,16.43
18,"KENNETH S. POOLER, JR",17,2.41
19,ALEXANDER J. SHERMAN.,23,3.26
20,WRITE-IN.,6,.85
21,Blanks,359,
22,WARD SIX COUNCILLOR,,
23,VOTE FOR 1,,
24,KENNETH SHEA,122,61.93
25,KIM M. RIVERA,73,37.06
26,WRITE-IN.,2,1.02
27,Blanks,16,
28,QUESTION 1,,
29,VOTE FOR 1,,
30,YES (SI),120,60.91
31,NO (NO),77,39.09
32,Blanks,16,
33,QUESTION 2,,
34,VOTE FOR 1,,
35,YES (SI),91,46.91
36,NO (NO),103,53.09
37,Blanks,19,
