,REGISTERED VOTERS - TOTAL,1684,
0,BALLOTS CAST - TOTAL.,76,
1,VOTER TURNOUT - TOTAL,,4.51
2,CITY COUNCIL AT LARGE,,
3,VOTE FOR 5,,
4,THOMAS ASHE.,23,9.47
5,JUSTIN J. HURST,44,18.11
6,KATERI B. WALSH,26,10.70
7,ERNESTO E. CRUZ,15,6.17
8,VICTOR G. DAVILA,14,5.76
9,MARILYN FELIX,14,5.76
10,JESSE LEDERMAN.,17,7.00
11,JYNAI S. McDONALD.,19,7.82
12,KELVIN MOLINA,9,3.70
13,KELLI P. MORIARTY-FINN,6,2.47
14,TIMOTHY RYAN,11,4.53
15,WILLIE J. THOMAS,12,4.94
16,TRACYE L. WHITFIELD,32,13.17
17,WRITE-IN,1,.41
18,Blanks,137,36.05
19,CITY COUNCIL WARD 4,,
20,VOTE FOR 1,,
21,E. HENRY TWIGGS,20,31.25
22,LORENZO D. GAINES.,8,12.50
23,ROBERT J. KELLY,19,29.69
24,LARRY LAWSON,9,14.06
25,CANDEJAH PINK,7,10.94
26,WRITE-IN.,1,1.56
27,Blanks,12,15.79
28,SCHOOL COMMITTEE AT LARGE VOTE FOR 2,,
29,DENISE MARIE HURST,38,33.04
30,JAMES M. ANZIANO,4,3.48
31,LaMAR COOK,12,10.43
32,JAMES J. FERRERA III.,7,6.09
33,JOESIAH GONZALEZ,13,11.30
34,RYAN HESS,5,4.35
35,MICHAEL D. KOCSMIERSKY,3,2.61
36,LaTONIA MONROE NAYLOR,31,26.96
37,WRITE-IN.,2,1.74
38,Blanks,37,24.34
39,SCHOOL COMMITTEE DISTRICT 2,,
40,VOTE FOR 1,,
41,BARBARA GRESHAM,41,64.06
42,STEPHANIE MURCHISON-BROWN,14,21.88
43,GISELLE VIZCARRONDO,8,12.50
44,WRITE-IN.,1,1.56
45,Blanks,12,15.79
