,0305 3E,VOTES,PERCENT
0,REGISTERED VOTERS - TOTAL,1408,
1,BALLOTS CAST - TOTAL.,154,
2,VOTER TURNOUT - TOTAL,,10.94
3,MAYOR,,
4,VOTE FOR 1,,
5,DOMENIC J. SARNO,97,64.67
6,JOSE F. TOSADO.,53,35.33
7,WRITE-IN.,0,
8,Blanks,4,
9,CITY COUNCIL AT LARGE,,
10,VOTE FOR 5,,
11,THOMAS ASHE.,58,10.84
12,JAMES J. FERRERA,63,11.78
13,TIMOTHY J. ROOKE -,43,8.04
14,KATERI B. WALSH .,48,8.97
15,JOSEPH R. FOUNTAIN .,29,5.42
16,JUSTIN J. HURST .,57,10.65
17,AMAAD RIVERA,59,11.03
18,CHARLES H. RUCKS,50,9.35
19,MIGUEL A. SOTO.,52,9.72
20,BUD L. WILLIAMS,74,13.83
21,WRITE-IN.,2,.37
22,Blanks,235,
23,CITY COUNCIL WARD 3,,
