,,0101 1A VOTES,,PERCENT
0,,1612 REGISTERED VOTERS - TOTAL 165,,
1,,BALLOTS CAST - TOTAL. TOTAL,,10.24
2,,VOTER TURNOUT - MAYOR,,
3,,VOTE FOR 1,111,72.55
4,,DOMENIC J. SARNO,40,26.14
5,,SALVATORE S. CIRCOSTA,2,1.31
6,,WRITE-IN,12,
7,,Blanks,,
8,,COUNCILLOR AT LARGE,,
9,,VOTE FOR 5,72,16.36
10,,THOMAS ASHE.,68,15.45
11,,JUSTIN J. HURST,42,9.55
12,,TIMOTHY J. ROOKE,58,13.18
13,,KATERI B. WALSH,84,19.09
14,,BUD L. WILLIAMS,20,4.55
15,,LaMAR COOK,22,5.00
16,,JEFFERY P. DONNELLY,30,6.82
17,,JESSE L. LEDERMAN.,20,4.55
18,,"KENNETH S. POOLER, JR",21,4.77
19,,ALEXANDER J. SHERMAN.,3,.68
20,,WRITE-IN.,385,
21,,Blanks,,
22,,WARD ONE COUNCILLOR,,
23,,VOTE FOR 1,51,31.68
24,,ZAIDA LUNA,109,67.70
25,,ADAM GOMEZ,,1 .62
26,,WRITE-IN.,,4
27,,Blanks,,
28,,QUESTION 1,,
29,,VOTE FOR 1,,91 76.47
30,,YES (SI),,28 23.53
31,,NO (NO),,46
32,,Blanks QUESTION 2,,
33,,VOTE FOR 1,,94 79.66
34,,YES (SI),,24 20.34
35,,NO (NO),,47
